,vectors,shape
0,lKm5Ji1Fr4U_resnet.npy,"(740, 2048)"
1,rqHVPcy9wxM_bn.npy,"(185, 1024)"
2,DBJUD9V-1rQ_resnet.npy,"(513, 2048)"
3,Gs7Bg6hLo84_resnet.npy,"(295, 2048)"
4,G21LXiasKf4_resnet.npy,"(573, 2048)"
5,lkmVVQIsdEE_resnet.npy,"(488, 2048)"
6,a3ZvOvo49WE_bn.npy,"(1208, 1024)"
7,M8E0XaX0tR0_bn.npy,"(1132, 1024)"
8,DpuofwnCI8A_resnet.npy,"(1220, 2048)"
9,u95xkc4DfAs_bn.npy,"(423, 1024)"
10,ItEqiHzbLj4_bn.npy,"(1090, 1024)"
11,GridojtCXDE_resnet.npy,"(1179, 2048)"
12,M6gouTbPn70_bn.npy,"(602, 1024)"
13,Re46osq_NkI_bn.npy,"(548, 1024)"
14,0Mz4NTozNXw_resnet.npy,"(421, 2048)"
15,pS5T4dCCclQ_bn.npy,"(263, 1024)"
16,KmqfNQG1BXk_bn.npy,"(564, 1024)"
17,2bGOopmLtk4_bn.npy,"(506, 1024)"
18,pTjoGIvSfE8_resnet.npy,"(1059, 2048)"
19,xiiu9ua4MPE_resnet.npy,"(557, 2048)"
20,L5IxNIODQkc_resnet.npy,"(392, 2048)"
21,P71govkTh1E_resnet.npy,"(501, 2048)"
22,lKm5Ji1Fr4U_bn.npy,"(740, 1024)"
23,2HsWZdKKBGg_resnet.npy,"(773, 2048)"
24,_Vzpj0cXoSM_resnet.npy,"(827, 2048)"
25,dV8LJ5NeceI_bn.npy,"(805, 1024)"
26,6Mi3xrBF1sY_bn.npy,"(1298, 1024)"
27,shG7q7jqfsY_resnet.npy,"(217, 2048)"
28,k-aTILi_nLY_resnet.npy,"(469, 2048)"
29,gRoxcqIRXOU_resnet.npy,"(415, 2048)"
30,oUvPl-uaqdE_bn.npy,"(345, 1024)"
31,v-GtKLHLmsU_resnet.npy,"(695, 2048)"
32,9pJToG30LdM_bn.npy,"(375, 1024)"
33,qmoqJRP5N6E_bn.npy,"(650, 1024)"
34,zuDJIPoSl7o_resnet.npy,"(339, 2048)"
35,qRUbmEZ6oiA_resnet.npy,"(685, 2048)"
36,A6icBIwaT8c_bn.npy,"(431, 1024)"
37,EJm2J0WqRcY_bn.npy,"(513, 1024)"
38,X19GtsFLeUU_bn.npy,"(517, 1024)"
39,M8SHMUBnm4A_resnet.npy,"(468, 2048)"
40,yTPJ_u_qxDU_bn.npy,"(1033, 1024)"
41,wqpqx-Qm7lk_bn.npy,"(951, 1024)"
42,OMJvrjWEjC0_resnet.npy,"(415, 2048)"
43,QUV_oA9DrGw_bn.npy,"(961, 1024)"
44,l6Wblq6yIk0_bn.npy,"(482, 1024)"
45,_XxXWiOoyhY_bn.npy,"(980, 1024)"
46,z6GDbQ7nqic_resnet.npy,"(512, 2048)"
47,luc3a5TQ6z4_resnet.npy,"(282, 2048)"
48,tZF_WIdSQHM_resnet.npy,"(1257, 2048)"
49,ijQMlWG0qd8_bn.npy,"(688, 1024)"
50,vWrOd9Ur0po_bn.npy,"(586, 1024)"
51,qaDMnLE6NBU_bn.npy,"(797, 1024)"
52,dB4SW9-y13U_bn.npy,"(681, 1024)"
53,8SVzabm5e3Q_bn.npy,"(181, 1024)"
54,MQxsZgxODww_resnet.npy,"(478, 2048)"
55,eWBSMD3BiHM_resnet.npy,"(862, 2048)"
56,skrWT6xHVoI_bn.npy,"(383, 1024)"
57,CgbEMrfzmQQ_bn.npy,"(500, 1024)"
58,qH6kSDQMiFA_resnet.npy,"(542, 2048)"
59,dV8LJ5NeceI_resnet.npy,"(805, 2048)"
60,X4DYlEkdEaQ_resnet.npy,"(452, 2048)"
61,fJ47lmh3uiU_bn.npy,"(1260, 1024)"
62,KYoelaJY5LA_resnet.npy,"(337, 2048)"
63,Afp_1HegZOc_bn.npy,"(495, 1024)"
64,2rJ3KKx0oRk_bn.npy,"(407, 1024)"
65,zZysbuDEtWY_resnet.npy,"(368, 2048)"
66,1m17Yoh73uU_bn.npy,"(563, 1024)"
67,Z8xhli297v8_resnet.npy,"(1195, 2048)"
68,vHpqMItXGzg_bn.npy,"(423, 1024)"
69,pH5PbKWJ3c0_resnet.npy,"(266, 2048)"
70,2Zr72r4OCe8_bn.npy,"(250, 1024)"
71,CkMGWQG-SaU_bn.npy,"(839, 1024)"
72,JK0DTF9Edtk_resnet.npy,"(460, 2048)"
73,BgndHaHcHE0_bn.npy,"(545, 1024)"
74,m9gNbLw0Dcg_bn.npy,"(451, 1024)"
75,G21LXiasKf4_bn.npy,"(573, 1024)"
76,0O4bxhpFX9o_resnet.npy,"(623, 2048)"
77,zjgsP3zh1HU_resnet.npy,"(773, 2048)"
78,WCBuVWAvJYE_bn.npy,"(1181, 1024)"
79,LpBsoQ6TAL0_resnet.npy,"(736, 2048)"
80,awlqmed2nwU_resnet.npy,"(548, 2048)"
81,WwbaJPZktec_bn.npy,"(596, 1024)"
82,NLZO6xY1DXs_resnet.npy,"(710, 2048)"
83,4K9h7ojJYkc_bn.npy,"(167, 1024)"
84,_ilIn1kmNSA_resnet.npy,"(293, 2048)"
85,RubyHelAHBE_resnet.npy,"(509, 2048)"
86,o4gTZoW0SXI_bn.npy,"(428, 1024)"
87,hrj_nf_ApD0_bn.npy,"(432, 1024)"
88,gTqhgReBDw0_bn.npy,"(340, 1024)"
89,N3xXYO9UYxU_bn.npy,"(731, 1024)"
90,_Nmu6ezDy-M_resnet.npy,"(488, 2048)"
91,_VqJtr0nUKQ_resnet.npy,"(945, 2048)"
92,PQ97HXmsFR0_bn.npy,"(1015, 1024)"
93,zaJrdbEGBj0_resnet.npy,"(746, 2048)"
94,7PgQgF5KLTs_resnet.npy,"(417, 2048)"
95,B7-kMmC8Tj8_bn.npy,"(535, 1024)"
96,3rb_cevHS3c_resnet.npy,"(929, 2048)"
97,paiJGvLILKE_resnet.npy,"(1067, 2048)"
98,p2GVwIauFks_bn.npy,"(888, 1024)"
99,0JPDr8uT8xU_resnet.npy,"(488, 2048)"
100,Rig-KeXvcyk_resnet.npy,"(824, 2048)"
101,imfl-NXiU8g_bn.npy,"(1021, 1024)"
102,e1gtgMczUwE_bn.npy,"(417, 1024)"
103,tkuST4Ku37s_resnet.npy,"(255, 2048)"
104,0IuQKThr-pM_resnet.npy,"(336, 2048)"
105,88YovCsnMxs_resnet.npy,"(377, 2048)"
106,D0STPAXDYxg_resnet.npy,"(1317, 2048)"
107,g0KDpc1kSjo_resnet.npy,"(576, 2048)"
108,JWcAs8biQFU_bn.npy,"(85, 1024)"
109,QTSklobANsU_bn.npy,"(844, 1024)"
110,_3k47O2ty6k_resnet.npy,"(263, 2048)"
111,7Fd7DjXMeaQ_resnet.npy,"(800, 2048)"
112,JdDL-ekwq2A_bn.npy,"(513, 1024)"
113,CYadKq5-FRg_bn.npy,"(406, 1024)"
114,jxMQRNpUsXc_bn.npy,"(307, 1024)"
115,7slwSfbxVQ8_resnet.npy,"(149, 2048)"
116,6-1wDYxvhGM_resnet.npy,"(790, 2048)"
117,SVo2W3ux1pU_resnet.npy,"(501, 2048)"
118,ZazBiZ6ktfk_bn.npy,"(767, 1024)"
119,pNAwkqm4t3A_bn.npy,"(367, 1024)"
120,djKnQP_LvSk_resnet.npy,"(1086, 2048)"
121,XlAZJB-uAO0_resnet.npy,"(607, 2048)"
122,HwLNy9MV6AQ_bn.npy,"(990, 1024)"
123,8CaadFo3sw0_resnet.npy,"(593, 2048)"
124,VSrY0ORD394_bn.npy,"(677, 1024)"
125,umlod2kf3K8_bn.npy,"(1157, 1024)"
126,v1WYthMcMRI_bn.npy,"(922, 1024)"
127,1HK-p8abRq8_resnet.npy,"(250, 2048)"
128,01lB162koHA_resnet.npy,"(690, 2048)"
129,HvQ7M9ibS_8_bn.npy,"(722, 1024)"
130,sBJJ0Cj0GG4_bn.npy,"(732, 1024)"
131,HJHV2nYz1L8_bn.npy,"(660, 1024)"
132,_T6wD5toQF8_bn.npy,"(491, 1024)"
133,JXCmp1jMi0w_bn.npy,"(662, 1024)"
134,rP7dlRovAzo_bn.npy,"(443, 1024)"
135,zPCtV7YcmkA_bn.npy,"(732, 1024)"
136,qmoqJRP5N6E_resnet.npy,"(650, 2048)"
137,iEDDZvKZLMk_resnet.npy,"(198, 2048)"
138,x3yKLl3q7xk_bn.npy,"(483, 1024)"
139,Hu1-l8xvJjU_bn.npy,"(120, 1024)"
140,aH2TPCuSH5s_resnet.npy,"(185, 2048)"
141,InDwfZmSikI_bn.npy,"(480, 1024)"
142,jxMQRNpUsXc_resnet.npy,"(307, 2048)"
143,JRycS8aNXBI_bn.npy,"(1231, 1024)"
144,DDRzeomsyzU_bn.npy,"(388, 1024)"
145,jivDSCDoyU0_resnet.npy,"(603, 2048)"
146,Aa4rc5Exz24_resnet.npy,"(420, 2048)"
147,pvGBm2epEo0_resnet.npy,"(615, 2048)"
148,xHuaYMXGTnc_bn.npy,"(368, 1024)"
149,LQDP3xm8aRk_resnet.npy,"(1201, 2048)"
150,Amc5E5Pmqyc_bn.npy,"(571, 1024)"
151,aG7C1vjn1Lw_resnet.npy,"(277, 2048)"
152,AFc6KPGfVs8_bn.npy,"(735, 1024)"
153,HLQ16akzeI8_bn.npy,"(523, 1024)"
154,R5IAGR2SeaE_bn.npy,"(334, 1024)"
155,pvGBm2epEo0_bn.npy,"(615, 1024)"
156,2TSFTzB0AyU_bn.npy,"(707, 1024)"
157,aMtZQgH_MRc_bn.npy,"(326, 1024)"
158,QUt050AXQMw_resnet.npy,"(601, 2048)"
159,nfO0YS2dSdw_bn.npy,"(736, 1024)"
160,btikV_DUoCM_resnet.npy,"(1153, 2048)"
161,0EuykeOvGg4_bn.npy,"(889, 1024)"
162,LRjJqoeprqg_bn.npy,"(1032, 1024)"
163,qndZKzNHpwc_bn.npy,"(1040, 1024)"
164,rTVN7NN-m2Q_resnet.npy,"(417, 2048)"
165,4UDMcBe5D3A_resnet.npy,"(396, 2048)"
166,haOViOps2ew_resnet.npy,"(442, 2048)"
167,9GIPE0aeVNI_bn.npy,"(310, 1024)"
168,S07Fr83GcBI_resnet.npy,"(523, 2048)"
169,BjWYw7V_T0s_resnet.npy,"(346, 2048)"
170,qqiJM4fV074_resnet.npy,"(318, 2048)"
171,HQtOXHghaL0_bn.npy,"(851, 1024)"
172,uAzzevo-FME_bn.npy,"(525, 1024)"
173,1mJeGeb-iew_resnet.npy,"(703, 2048)"
174,OJoVVl6PUF0_bn.npy,"(879, 1024)"
175,dC9gJsXAXGU_resnet.npy,"(408, 2048)"
176,9guuyTr8EUg_bn.npy,"(935, 1024)"
177,cppB7IXFySk_bn.npy,"(549, 1024)"
178,_AZ5jo3y7V4_resnet.npy,"(1194, 2048)"
179,ksSC0Fnjg00_resnet.npy,"(288, 2048)"
180,JPbFE731Y0c_resnet.npy,"(421, 2048)"
181,sv8jRCmi3Ro_bn.npy,"(629, 1024)"
182,6bZ4ZJtRmaE_bn.npy,"(712, 1024)"
183,FfyOV00sXEY_bn.npy,"(873, 1024)"
184,KgpkoZrOqck_bn.npy,"(1183, 1024)"
185,ivLLGfX0YUs_bn.npy,"(568, 1024)"
186,4eWzsx1vAi8_bn.npy,"(432, 1024)"
187,qAoqhmjk3iY_bn.npy,"(307, 1024)"
188,MxcI4wQLvK4_bn.npy,"(627, 1024)"
189,0VaYabFg-6E_resnet.npy,"(1167, 2048)"
190,-q9qwqV7onA_resnet.npy,"(1102, 2048)"
191,02nUKT0A7uE_bn.npy,"(528, 1024)"
192,bmxWJNbqCk8_resnet.npy,"(295, 2048)"
193,MZj3qmpbXo8_bn.npy,"(884, 1024)"
194,wHDZkh-21G0_resnet.npy,"(777, 2048)"
195,w7jJ8nsbbKI_bn.npy,"(198, 1024)"
196,Afp_1HegZOc_resnet.npy,"(495, 2048)"
197,Dr3rUEc1uVE_bn.npy,"(750, 1024)"
198,a33P6Woqnsk_bn.npy,"(501, 1024)"
199,_H0Mmr15_zA_bn.npy,"(722, 1024)"
200,dmJB7NHZ2cI_bn.npy,"(660, 1024)"
201,edX_xmX6q0s_bn.npy,"(935, 1024)"
202,cVDsNLn2zc4_bn.npy,"(820, 1024)"
203,f2uDKzq8WM0_resnet.npy,"(622, 2048)"
204,erExuKpqrAs_resnet.npy,"(589, 2048)"
205,uf65nfh6X2U_bn.npy,"(594, 1024)"
206,MrYB9qNgbJ4_resnet.npy,"(356, 2048)"
207,tPLVNKgs8Lk_resnet.npy,"(453, 2048)"
208,vOJkQwF2eno_resnet.npy,"(819, 2048)"
209,ueGKsfUW-PM_resnet.npy,"(1051, 2048)"
210,Ay55c3jSbeI_bn.npy,"(1187, 1024)"
211,UHhuaRTF1UY_bn.npy,"(813, 1024)"
212,zmEyQT7ifS8_resnet.npy,"(846, 2048)"
213,fOPF3x6c2WI_bn.npy,"(190, 1024)"
214,7r6JQycloEs_resnet.npy,"(558, 2048)"
215,aSLQ9Ow-wMA_bn.npy,"(888, 1024)"
216,gRoxcqIRXOU_bn.npy,"(415, 1024)"
217,Y6VBdbmdjYw_bn.npy,"(512, 1024)"
218,L8ZRBTdq3mE_bn.npy,"(725, 1024)"
219,y-Jxli-JfPg_bn.npy,"(275, 1024)"
220,lQXNAjrNzus_bn.npy,"(421, 1024)"
221,aEXmWHuxdO4_bn.npy,"(421, 1024)"
222,7TUOtdjLI6I_resnet.npy,"(618, 2048)"
223,WrJ_Xj9FArM_bn.npy,"(580, 1024)"
224,p_-xXIdhgzU_resnet.npy,"(1393, 2048)"
225,r9AtdDfDVmo_resnet.npy,"(819, 2048)"
226,1Ihxcua2HBc_bn.npy,"(596, 1024)"
227,JxCBGlPgr5o_bn.npy,"(586, 1024)"
228,JPbFE731Y0c_bn.npy,"(421, 1024)"
229,bUQ_OAQNyj8_resnet.npy,"(558, 2048)"
230,f9mlIEtVt5s_bn.npy,"(462, 1024)"
231,u_EbTnpbHRk_resnet.npy,"(746, 2048)"
232,Kbrkj7wZ4UA_resnet.npy,"(933, 2048)"
233,rWdhkAXfEAY_resnet.npy,"(194, 2048)"
234,ETXVbDoMKbQ_resnet.npy,"(459, 2048)"
235,arQZ2m0hMSU_resnet.npy,"(618, 2048)"
236,-CP9gKR9GR4_resnet.npy,"(861, 2048)"
237,5MiUA4iaKbA_bn.npy,"(302, 1024)"
238,Rig-KeXvcyk_bn.npy,"(824, 1024)"
239,lMNneVHjxk8_bn.npy,"(653, 1024)"
240,im-aWyUQGrg_resnet.npy,"(624, 2048)"
241,z4vmfgk1My8_bn.npy,"(405, 1024)"
242,6uHoTJSLoL8_resnet.npy,"(350, 2048)"
243,QRUXnp4mDUQ_resnet.npy,"(407, 2048)"
244,YRZ8zZElALQ_bn.npy,"(742, 1024)"
245,N1-rqFfCm9M_bn.npy,"(403, 1024)"
246,v4i6yW5O_Qg_resnet.npy,"(1083, 2048)"
247,MIt0YvVC2iY_resnet.npy,"(373, 2048)"
248,kTVcpmqpXJ8_resnet.npy,"(309, 2048)"
249,FliMoBfG72Y_resnet.npy,"(564, 2048)"
250,7Xw2utxQSK8_resnet.npy,"(608, 2048)"
251,SKRTpHStvT8_resnet.npy,"(495, 2048)"
252,A68bBM_5wUY_bn.npy,"(1207, 1024)"
253,-xbTvALWCIg_bn.npy,"(909, 1024)"
254,MBDYDoIbt5M_resnet.npy,"(685, 2048)"
255,4gPBv7le5pw_resnet.npy,"(814, 2048)"
256,EA4EWlv6HUM_resnet.npy,"(527, 2048)"
257,x3if1znl5Fg_bn.npy,"(964, 1024)"
258,xiiu9ua4MPE_bn.npy,"(557, 1024)"
259,3UvluD_TEPg_bn.npy,"(525, 1024)"
260,61gEpXMWTi0_resnet.npy,"(635, 2048)"
261,C4ToOkxTe-o_bn.npy,"(589, 1024)"
262,JYzdSgVKWTA_resnet.npy,"(361, 2048)"
263,soK_Ddu3OWc_bn.npy,"(319, 1024)"
264,h4eBp37M5c0_resnet.npy,"(256, 2048)"
265,2zFAZy0zSbw_bn.npy,"(748, 1024)"
266,5E3kulJRzGY_bn.npy,"(676, 1024)"
267,LMoGwLqPM64_resnet.npy,"(395, 2048)"
268,vp_dOhmfGcs_bn.npy,"(1166, 1024)"
269,aH2TPCuSH5s_bn.npy,"(185, 1024)"
